"Country","Population","Rural","GNI","Imports","Exports","Military","Cell","Fertility","Measles","InfMort","LifeExp","PM2.5","CO2","EnergyUse","Renewable","Debt"
"Denmark",5946952,11.505,73520,52.0092643854006,58.7029441323133,1.418960371433,125.7822877,1.55,95,3.1,81.3048780487805,9.06983927345931,4.93962683954039,1.96,39.5,NA
"Djibouti",1136455,21.448,3370,120.998169110085,143.022084396506,NA,44.26176127,2.757,50,44.1,62.859,35.9243304831101,0.679038835739694,2.08,26.6,88.4776536657737
"Dominica",73040,27.994,8470,NA,NA,NA,85.85731647,1.588,83,30.8,72.981,20.6672998234563,0.94587348942079,3.03,8.8,66.1470795379377
"Dominican Republic",11332972,15.554,9070,30.9821649871884,21.7527020808167,0.717637598102462,87.56486177,2.247,91,26.8,74.17,19.8267440369685,2.08899937045929,2.11,14.8,44.2742461875709
"Ecuador",18190484,35.208,6520,26.1464891255606,27.0047095688028,2.15522186999422,94.33558884,2.003,74,10.5,77.894,16.6570210758922,2.56135214710294,3.26,18.9,53.6153735878708
"Egypt, Arab Rep.",112716598,56.9,4100,19.295823265447,10.5611502153652,1.06181004427704,94.68027811,2.878,96,15.5,70.159,54.8587056496436,2.3962614035956,3.06,6.1,35.3817569142339
"El Salvador",6364943,24.607,4670,53.0635805908039,28.7814953892726,1.32039410209497,175.3370318,1.785,65,10.2,71.475,20.0287144500145,1.2581923593111,3.26,21.9,69.5553496699732
"Equatorial Guinea",1714671,25.552,4870,31.839097550571,45.1275510492817,1.09726208496911,49.96671696,4.17,53,55.1,61.19,35.3790521811967,3.01741946423326,5.18,5.2,NA
"Eritrea",3748901,56.733,NA,NA,NA,NA,49.74709362,3.786,93,28,66.604,32.3515206386852,0.218429155881382,6.37,80.7,NA
"Estonia",1366188,30.19,27200,81.2721698884718,80.2690952276056,2.08666579059428,149.0807939,1.41,82,1.5,77.9439024390244,6.14573290973003,8.04239198125797,3.73,38,NA
"Eswatini",1210822,75.21,4400,44.897165312181,44.0548924317466,1.64512139394137,120.0524881,2.785,83,39.7,56.36,18.7831211422857,1.12252115805504,3.91,65.4,27.5097991038
"Ethiopia",126527060,76.843,1020,16.7133376825376,7.63170164458893,0.903892013953936,53.62352623,4.063,56,33.9,65.645,27.3053276470482,0.17107240234643,6.79,90.6,22.6685924730882
